feature,chi2,pvalue
and opinions,129.5619883396863,2.3106920383889729e-10
sue,129.48811241298634,2.3697029222732024e-10
scarce,129.3450802082084,2.4882264042676936e-10
tho,129.2279800133407,2.58961458562939e-10
dogs,129.11702391513106,2.6894515894934154e-10
house an,129.01806524983897,2.781701670257183e-10
the yankee,128.5915284420776,3.2165009263441516e-10
said he,128.56491763937527,3.245753563517615e-10
the dogs,128.3917098531797,3.4426960544331136e-10
aunt,128.18049619611517,3.698912492722106e-10
every thing,127.99449126027481,3.940117308134057e-10
history and,127.6616123386493,4.4112537247685794e-10
amongst the,127.63243369282078,4.4551157489894684e-10
replied the,127.32748810185402,4.940140684716101e-10
woods,126.93915230623888,5.634051081012878e-10
her grace,126.83602386231156,5.833995025347796e-10
rev,126.74800085136968,6.010193452641324e-10
gray brother,126.48414024157921,6.570524685354111e-10
her own,126.45525326777539,6.634922362572656e-10
the big,126.31801875672559,6.949488521318656e-10
elevation of,126.24980883155949,7.111280974326669e-10
the advocate,126.23416288684876,7.148914916284181e-10
an the,125.94139762850942,7.890576005362751e-10
the miss,125.92911898931432,7.923291005315589e-10
said the,125.8464412649681,8.147095716575392e-10
attachment,125.64646584905525,8.714597559573003e-10
didn,125.52271596665231,9.085182132394468e-10
nice,125.18150454271509,1.0189640970647668e-09
natives,125.10184354435809,1.046603354216665e-09
as though,124.82167704685693,1.14982845674465e-09
cardinal,124.81800113380477,1.1512476245558495e-09
retorted,124.73603857200928,1.1833447477347574e-09
pond,124.72198539860865,1.188936234273067e-09
she was,124.49434182191224,1.2832360461597863e-09
to her,124.3954250197158,1.326481484462993e-09
captain,124.25738233903206,1.3892500434596973e-09
the squire,124.22276823812136,1.4054441817669972e-09
nation,124.2110610884126,1.410963466781589e-09
the pack,124.10933106655455,1.4598345244178352e-09
admiral,124.03772727624462,1.4952325900798086e-09
mr clay,123.9994415558943,1.5145062683592772e-09
regiment,123.93828815702275,1.5458025135234852e-09
anyway,123.7964410767657,1.6208773211975265e-09
bath,123.38804174912852,1.8577456538394099e-09
of fort,123.23938648422538,1.9522007844301247e-09
priest,123.07061861205247,2.0651973885075106e-09
an when,123.05756573930896,2.074201335727068e-09
